Persecution at School	Sukuu Ɔtae
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
The Bible’s Viewpoint	Bible no Adwene
*	*
Jehovah , the Timekeeper	Yehowa , Bere Sodifo
[ Footnotes ]	[ Ase hɔ asɛm ]
You could be fooled .	Ebetumi adaadaa wo .
What do you do ?	Woyɛ w’ade dɛn ?
[ Picture on page 31 ]	[ Kratafa 29 mfonini ]
Young People Ask . . .	Mmofra Bisa Sɛ . . .
Not me .	Ná ɛnte saa wɔ me fam .
Yes , there are .	Yiw , ebi wɔ hɔ .
Parents as Role Models	Awofo sɛ Nhwɛsofo
The Best Role Model	Nhwɛsofo a Ɔsen Biara
And what about Richard ?	Na Richard nso ɛ ?
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 13 ]	[ Kratafa 13 mfonini ]
BY AWAKE !	EFI NYAN !
Yes , there is !	Yiw , ebi wɔ hɔ !
Number 1 : Plant a Garden	Nea Edi 1 : Yɛ Turo
Number 2 : Buy in Bulk	mu no . Nea Ɛto so 2 : Sɛ Woretɔ Nneɛma a , Tɔ no Kɛse
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Does it smell clean ?	Wo gyaade nso ɛ ?
What about your kitchen ?	So ɛhɔ yɛ fɛ kama ?
Is it tidy and clean ?	Ɛsɛ sɛ aduan ho tew na wɔnoa no yiye , na ama ahoɔden abam .
[ Pictures on page 18 ]	[ Kratafa 22 mfonini ahorow ]
Plant a garden	Yɛ turo
[ Pictures on page 19 ]	[ Kratafa 11 mfonini ahorow ]
Buy in bulk	Sɛ wotɔ nneɛma a tɔ no kɛse
[ Pictures on page 19 ]	[ Kratafa 11 mfonini ahorow ]
[ Pictures on page 20 ]	[ Kratafa 16 mfonini ahorow ]
[ Pictures on page 20 ]	[ Kratafa 16 mfonini ahorow ]
Maintain proper hygiene	Kura ahotew pa mu
By Awake !	Efi Nyan !
correspondent in Sweden	kyerɛwfo a ɔwɔ Sweden hɔ
how would you react ?	anka wobɛyɛ w’ade dɛn ?
A Complex Structure	Ade a Ɛyɛ Nwonwa
Nail plate .	Bona .
Lunule .	Bɔwerɛw akyi nam .
Eponychium .	Bɔwerɛw ne akyi nam hye so .
Cuticle .	Nam hatahata .
Free edge .	Bɔwerɛw ano nam .
Hyponychium .	Bona ase nam .
Their Usefulness	Ɛso Mfaso
[ Diagram on page 23 ]	[ Asɛm a Wɔahyehyɛ wɔ kratafa 19 ]
Nail plate ;	Bona ;
lunule ;	bɔwerɛw akyi nam ;
eponychium ;	bona ne akyi nam hye so ;
cuticle ;	nam hatahata ;
free edge ;	bɔwerɛw ano nam ;
hyponychium ;	bona ase nam ;
matrix ;	bɔwerɛw akyi ntini ;
nail bed	bɔwerɛ ase nam
Watching the World	Wiase Nsɛm
Bullies Abound	Asisifo Abu So
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Page Two	Kratafa Abien
How ?	Ɔkwan bɛn so na ɛte saa ?
16	12
Life	Life
A Child Named Poor	Abofra a Ne Din De Ohia
In some , yes .	Ɛte saa wɔ aman no bi mu .
In many others , no .	Nanso wɔ afoforo pii mu no , ɛnte saa .
Prisoners of Poverty	Nnipa a Ohia Afa Wɔn Nnommum
Just what did he mean ?	Dɛn ankasa na na ɔkyerɛ ?
Lofty goals !	Botae ahorow a ɛfata bɛn ara ni !
Hunger and Malnutrition	Ɔkɔm ne Aduan Pa a Wonnya Nni
Poor Health	Akwahosan Pa a Wonni
Unemployment and Low Pay	Adwuma a Wonnya Nyɛ ne Akatua a Esua
Education	Nhomasua
Housing	Adan
Population	Nnipa Dodow
Probably you do not .	Ebia wunnye nni .
How then ?	Ɛnde ɛnam ɔkwan bɛn so ?
[ Box on page 7 ]	[ Kratafa 19 adaka ]
The Poorest of the Poor	Ahiafo mu Ahiafo
[ Picture on page 5 ]	[ Kratafa 5 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
Godo - Foto	Godo - Foto
[ Picture on page 6 ]	[ Kratafa 6 mfonini ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
The End of Poverty Nears	Ohia Awiei Abɛn
Security Now	Ahobammɔ a Ɛwɔ Hɔ Nnɛ
Not With Us Forever	Ɛne Yɛn Rentra Daa
How will that happen ?	Ɛbɛyɛ dɛn na ɛno aba ?
[ Picture on page 8 , 9 ]	[ Mfonini wɔ kratafa 8 , 9 ]
[ Picture on page 10 ]	[ Kratafa 10 mfonini ]
The Bible’s Viewpoint	Bible no Adwene
Marriage or Singleness ?	Aware Anaa Sigyadi ?
Why ?	Dɛn ntia ?
Why ?	Dɛn ntia ?
Life	Life
Change of Thinking	Me Nsusuwii a Mesesae
I was thrilled .	M’ani gyee ho .
But I was mistaken .	Nanso na meredi mfomso .
I was only 17 then .	Ná madi mfe 17 pɛ saa bere .
A Firmer Stand	Gyina a Migyina Pintinn
Reprisals	Awerɛtɔ Ahorow
But that was not all .	Nanso anso hɔ ara .
Escape to Greece	Miguan Kɔ Greece
Reunion After Six Years	Yɛka Bom Mfe Asia Akyi
Orange St .	
High St .	Benin
Orange St .	
S.E . ST .	DECEMBER 6 - 8 , 1996
Oglethorpe Ave .	NOVEMBER 20 - 22 , 1998
High St .	Benin
Orange St .	
S.E . ST .	DECEMBER 6 - 8 , 1996
Oglethorpe Ave .	NOVEMBER 20 - 22 , 1998
& Military Rd .	
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Ballroom , 300 E .	DUNKWA ( Twi )
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Orange St .	
Jefferson St .	KUMASI “ C ” ( Twi )
“ D ” St .	ACCRA “ C ” ( Ga )
Quinault .	
Leigh St .	Burkina Faso
“ D ” St .	ACCRA “ C ” ( Ga )
Broad & Pattison Ave .	NOVEMBER 29 - DECEMBER 1 , 1996
Leigh St .	Burkina Faso
“ D ” St .	ACCRA “ C ” ( Ga )
Shoreline Blvd .	
DAYTON , OH , Ervin J .	
Leigh St .	Burkina Faso
“ D ” St .	ACCRA “ C ” ( Ga )
JULY 31 – AUGUST 2	
Shoreline Blvd .	
DAYTON , OH , Ervin J .	
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Shoreline Blvd .	
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Bancroft .	DECEMBER 27 - 29 , 1996
AUGUST 14 - 16	JANUARY 14 - 17 , 1999
Loop 121 .	KOLAHUN
Shoreline Blvd .	
S.E .	Mali
Church St .	
AUGUST 21 - 23	JANUARY 1 - 3 , 1999
Shoreline Blvd .	
Loop 121 .	KOLAHUN
Shoreline Blvd .	
Church St .	
SEPTEMBER 4 - 6	DECEMBER 4 - 6 , 1998
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Church St .	
SEPTEMBER 11 - 13	DECEMBER 11 - 13 , 1998
Ocean Blvd .	DECEMBER 13 - 15 , 1996
Church St .	
BRITAIN JULY 24 - 26	DECEMBER 18 - 20 , 1998
JULY 10 - 12	LOMÉ ( Ewe )
NAVAN , CO .	
JULY 17 - 19	
NAVAN , CO .	
MONTREAL , QUE .	
VANCOUVER , B.C .	JANUARY 10 - 12 , 1997
Grounds , Hastings St .	
E . & Renfrew St .	KARA ( Franse kasa / Kabyè )
JUNE 26 - 28	Nigeria
BRAMPTON , ONT .	NOVEMBER 1 - 3 , 1996
VANCOUVER , B.C .	JANUARY 10 - 12 , 1997
KITCHENER , ONT .	JANUARY 3 - 5 , 1997
SASKATOON , SASK .	HOHOE ( Ewe ne Twi )
Young People Ask . . .	Mmofra Bisa Sɛ . . .
What shall I do ?	Dɛn na menyɛ ?
Let him know how I feel ?	So ɛsɛ sɛ meka kyerɛ no sɛ medɔ no ?
No , no , I can’t do it !	Dabi , dabi , mintumi nyɛ saa !
*	*
Why ?	Dɛn ntia ?
Facing the Truth	Nokware no a Wobɛma Ada Adi
Getting Over the Hurt	Ɔhaw no a Wubedi So
What can help ?	Dɛn na ebetumi aboa ?
magazines . ”	nsɛmma nhoma mu nsɛm a mfaso wɔ so no nso . ”
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 13 ]	[ Kratafa 13 mfonini ]
My Trials Begin	Me Sɔhwɛ Ahorow Fi Ase
From Camp to Camp	Mifi Adwumayɛban Biako mu Kɔ Foforo Mu
Many died .	Nnipa pii wuwui .
What a spiritual feast !	Honhom fam apontow bɛn ara ni !
Freedom , and a Family	Ahofadi ne Abusua
Back to Ukraine	Yɛkɔ Ukraine Bio
magazines .	nsɛmma nhoma no brɛ me .
A dream had come true .	Ná anidaso bi anya ne mmamu .
RUSSIA	RUSSIA
Vorkuta	Vorkuta
Lviv	Lviv
Borislav	Borislav
UKRAINE	UKRAINE
Kremenchug	Kremenchug
Molochansk	Molochansk
Caucasus	Caucasus
Biryusinsk	Biryusinsk
Angarsk	Angarsk
[ Credit Line ]	[ Asɛm Fibea ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Watching the World	Wiase Nsɛm
The Danger of Despair	Abasamtu Ho Asiane
Years in Traffic	Mfe a Wodi Wɔ Kar Mu Tra Mu
How much time ?	Bere tenten bɛn na wodi ?
Middle Eastern Time	Mediterranea Supɔw So Bere
Fears for French	Franse Kasa Ho Suro
Seeking to End Bribery	Wɔhwehwɛ Ɔkwan a Wɔbɛfa So Asiw Adanmudegye Ano
Caterpillar Craze	Ɔsa Ho Anigye a Wɔkyerɛ
Why ?	Dɛn ntia ?
No Face - Lift	Wɔantumi Anyɛ Ohoni no Anim
Page Two	Kratafa Abien
3 - 9	3 - 9
20	19
By Awake !	Efi Nyan !
Correspondent In Brazil	kyerɛwfo a ɔwɔ Brazil Hɔ
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 4 ]	[ Asɛm a wɔafa aka wɔ kratafa 4 ]
[ Box on page 4 ]	[ Kratafa 4 adaka ]
Herbal Home Remedies	Ofie Nhabannuru
When to Seek Medical Aid	Bere a Ɛsɛ sɛ Yɛhwehwɛ Oduruyɛfo Hɔ Mmoa
( See box , page 7 . )	( Hwɛ adaka a ɛwɔ kratafa 7 no . )
[ Box on page 6 ]	[ Kratafa 6 adaka ]
[ Box on page 7 ]	[ Kratafa 19 adaka ]
A Home Medicine Chest	Ofie Nnuru Adaka
[ Box on page 8 ]	[ Kratafa 8 adaka ]
A Word of Warning	Kɔkɔbɔ Bi
[ Pictures on page 7 ]	[ Kratafa 7 mfonini ahorow ]
Vendor’s medicine chest	Nnurutɔnfo adaka
Bags of herbal remedies	Nkotoku a nhabannuru gu mu
Relief From Sickness	Ahofadi a Wobenya Wɔ Nyarewa Ho
A Deadly Alliance	Nkabom a Ɛyɛ Hu
Dr . Richard J .	Oduruyɛfo Richard J .
The Bible’s Viewpoint	Bible no Adwene
It’s not !	Mfomso Biara Nni Ho !
It’s a game !	Ɛyɛ Agodie !
What is flirtation ?	Dɛn na mmarima ne mmea ho a wɔde hyehyɛ wɔn ho no kyerɛ ?
*	*
How ?	Ɔkwan bɛn so na ɛte saa ?
If One Is Married	Sɛ Obi Yɛ Ɔwarefo A
*	*
Emotional Affairs	Nna Ho Akɔnnɔ a Wonya Ma Obi
How so ?	Ɔkwan bɛn so ?
[ Footnotes ]	[ Ase hɔ asɛm ]
When Dead Means Dead	Bere a Owu Kyerɛ Owu
Do you believe this ? ”	Wugye eyi di anaa ? ”
[ Blurb on page 31 ]	[ Asɛm a wɔafa aka wɔ kratafa 31 ]
Thomas Lynch , mortician	Thomas Lynch , a osiesie funu
“ I consider Awake !	“ Mibu Nyan !
M .	M .
A . ”	A . ”
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN GERMANY	KYERƐWFO A ƆWƆ GERMANY HƆ
No Compromise With Hitler	Wɔannyae Wɔn Mudi Mu Amma Hitler
Looking Back	Sɛ Yɛhwɛ Yɛn Akyi A
It stated :	Ɛkae sɛ :
A Statement of Intent	Wɔn Gyinabea a Wɔkyerɛkyerɛ Mu
*	*
[ Footnote ]	[ Ase hɔ asɛm ]
[ Pictures on page 13 ]	[ Kratafa 18 mfonini ]
Kenya’s Rhino Orphans	Kenya Bɛnkoro a Wɔyɛ Nyisaa
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN KENYA	KYERƐWFO A ƆWƆ KENYA HƆ
Rearing Rhino	Bɛnkoro a Wɔyɛn Wɔn
Why is it highly prized ?	Dɛn nti na ne bo yɛ den saa ?
[ Picture on page 12 ]	[ Kratafa 25 mfonini ]
Young People Ask . . .	Mmofra Bisa Sɛ . . .
Why Can’t I Concentrate ?	Dɛn Nti na Mintumi Mfa M’adwene Nsi Biribiara So ?
“ PAY ATTENTION ! ”	“ MA W’ASO MMRA HA ! ”
What may be the problem ?	Dɛn na ebia ɛde ɔhaw no ba ?
The problem ?	Na efi dɛn ?
Emotions and Hormones	Nkate ne Ahommoa
Well , relax !	Mma ɛnnhaw wo !
You are not going crazy .	Ɛnyɛ adammɔ .
*	*
Your Sleep Habits	Wo Su Wɔ Nna Ho
Diet and Concentration	Aduandi ne Adwene a Wɔde Si Biribi So
[ Footnotes ]	[ Ase hɔ asɛm ]
See Awake !	Hwɛ June 8 , 1993 Nyan !
[ Blurb on page 20 ]	[ Asɛm a wɔafa aka wɔ kratafa 29 ]
[ Blurb on page 20 ]	[ Asɛm a wɔafa aka wɔ kratafa 29 ]
[ Picture on page 19 ]	[ Kratafa 19 mfonini ]
By Awake !	Efi Nyan !
Is that the end of it ?	So ɛno ara nen ?
Maybe not .	Ebia ɛnte saa .
What exactly is dengue ?	Dɛn ankasa ne dengue ?
Can it affect you ?	So ebetumi aka wo ?
What Is Dengue ?	Dɛn ne Dengue ?
Particular Dangers of DHF	DHF Ho Asiane Titiriw
Protecting Your Family	W’abusua Ho Ban a Wobɛbɔ
Preventive Measures	Akwan a Wɔfa So Siw Ano
What about vaccination ?	Na nnuru sesa nso ɛ ?
[ Box on page 22 ]	[ Kratafa 28 adaka ]
What Are the Symptoms ?	Dɛn Ne Ɛho Nsɛnkyerɛnne ?
• Sudden high fever	• Atiridii a ano yɛ den a ɛba mpofirim
• Severe headache *	• Tipae a emu yɛ den *
• Pain behind the eyes	• Ani akyi tutu
• Joint and muscle pain	• Apɔw so ntini mu yaw
• Swelling of lymph nodes	• Apɔw so a ɛhonhon
• Rash	• Nsawa
• Exhaustion	• Ɔbrɛ
• Sudden collapse	• Ade a ɛtɔ obi so mpofirim
• Skin hemorrhaging	• Mogya a etu obi honam ani
• Generalized bleeding	• Mogya a etumi tu nipadua no fã biara
• Cold , clammy skin	• Awɔse a egu obi
• Restlessness	• Ahoyeraw
[ Footnote ]	[ Ase hɔ asɛm ]
[ Box on page 23 ]	[ Kratafa 23 adaka ]
Tips for Travelers	Nyansahyɛ Ma Akwantufo
[ Credit Line ]	[ Asɛm Fibea ]
© Dr . Leonard E .	© Oduruyɛfo Leonard E .
[ Pictures on page 24 ]	[ Kratafa 28 mfonini ahorow ]
© Dr . Leonard E .	© Oduruyɛfo Leonard E .
Watching the World	Wiase Nsɛm
Oceans in Peril	Ɛpo Wɔ Asiane Mu
Organ Donors	Wɔn a Wɔde Wɔn Nipadua Mu Akwaa Kyɛ
Why ?	Dɛn ntia ?
High - Risk Sex	Ɔbarima ne Ɔbea Nna a Ɛyɛ Hu Yiye
Obesity and Heart Disease	Kɛseyɛ Mmoroso ne Komayare
Disappearing Forests	Kwae a Ɛresa
Awesome Star Power	Nsoromma mu Tumi a Ɛyɛ Nwonwa
Page Two	Kratafa Abien
3 - 11	3 - 11
12	20
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Navy photo	Po so Asraafo mfonini
Isaac	Isaac
What Should We Do ?	Dɛn na Ɛsɛ sɛ Yɛyɛ ?
But what about us ?	Na yɛn nso ɛ ?
Should we remember ?	So ɛsɛ sɛ yɛkae ?
Or should we forget ?	Anaasɛ ɛsɛ sɛ yɛn werɛ fi ?
[ Picture on page 4 ]	[ Kratafa 18 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
UN PHOTO 186797 / J .	UN PHOTO 186797 / J .
Isaac	Isaac
U.S .	U.S .
Navy photo	Po so Asraafo mfonini
Forgetting by Decree ?	So Mmara a Wɔhyɛ Betumi Ama Obi Werɛ Afi Asɛm Bi ?
Why ?	Dɛn ntia ?
They Do Not Forget	Wɔn Werɛ Mfi
Why Remember ?	Dɛn Nti na Ɛsɛ sɛ Wɔkae ?
Why has this been so ?	Dɛn nti na eyi aba saa ?
[ Footnote ]	[ Ase hɔ asɛm ]
[ Credit Line ]	[ Asɛm Fibea ]
Oświęcim Museum	Oświęcim Museum
What is the solution ?	Ano aduru ne dɛn ?
Why ?	Dɛn ntia ?
Hypocrisy	Nyaatwom
The Final Judge	Ɔtemmufo a Ɔsen Biara
A New World at Hand !	Wiase Foforo Abɛn !
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
BY AWAKE !	EFI NYAN !
CORRESPONDENT IN FRANCE	Kyerɛwfo A Ɔwɔ France hɔ
No .	Dabi .
Outward Appearances	Sɛnea Ɛte Wɔ Nnipa Ani So
Taking a Closer Look	Nhwehwɛmu a Ɛkɔ Akyiri a Wɔyɛ
Religion à la Carte	Nyamesom a Obiara Paw Nea Ɔpɛ
I never see them . ”	Minhu wɔn koraa . ”
Satisfying Answers	Mmuae a Ɛma Akomatɔyam
He studied .	Osuaa ade .
He converted .	Ɔyɛɛ nsakrae .
[ Picture on page 12 ]	[ Kratafa 25 mfonini ]
[ Picture on page 13 ]	[ Kratafa 13 mfonini ]
The Bible’s Viewpoint	Bible no Adwene
*	*
A Personal Matter	Ankorankoro Asɛm
Not at all !	Dabida !
[ Footnote ]	[ Ase hɔ asɛm ]
Jewels of the African Sky	Afrika Wim Abohene
By Awake !	Efi Nyan !
correspondent in Kenya	kyerɛwfo a ɔwɔ Kenya hɔ
Metallic Mirrors	Nnade Ahwehwɛ
Diligent but Not Dazzling	Wɔyɛ Nsi , Nanso Wɔn Ho Nyɛ Fɛ
Hanging Nests	Berebuw a Ɛsɛn Hɔ
“ Something Special ”	“ Biribi a Ɛda Nsow ”
There is no escape .	Obiara ntumi nkwati .
Big money !	Ɛyɛ sika kɛse !
The Art of Persuasion	Sɛnea Wɔma Nkurɔfo Gye Biribi Di
The Target Audience	Atiefo a Wɔde Adwene Si Wɔn So
And why .	Ne nea enti a wɔtɔ .
Elements of Persuasion	Nsɛm a Wɔka Fa Biribi Ho Ma Nkurɔfo Gye Di
“ Buy now ! ”	“ Tɔ seesei yi ara ! ”
Stopping Power	Sɛnea Etumi Kye Adwene
How do people react ?	Dɛn na nkurɔfo yɛ wɔ ho ?
[ Blurb on page 6 ]	[ Asɛm a wɔafa aka wɔ kratafa 6 ]
[ Box on page 5 ]	[ Kratafa 5 adaka ]
[ Box on page 6 ]	[ Kratafa 6 adaka ]
Subliminal Advertising	Aguade Ho Dawurubɔ a Ɛnka Adwenem
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
The Power of Advertising	Tumi a Aguade Ho Dawurubɔ Wɔ
Consumer Culture	Adetɔfo Su
Its Power Over You	Sɛnea Enya Wo So Tumi
Probably .	Ebetumi aba saa .
Rather , it tells us :	Mmom no , ɛka kyerɛ yɛn sɛ :
Trust in God .	Fa wo ho to Onyankopɔn so .
Be content .	Pene nea wowɔ so .
Be modest .	Brɛ wo ho ase .
Practice giving .	Kyɛ ade .
[ Box on page 9 ]	[ Kratafa 9 adaka ]
Advertising God’s Kingdom	Onyankopɔn Ahenni Ho Dawurubɔ
[ Pictures on page 8 ]	[ Kratafa 8 mfonini ahorow ]
Effective and Safe	Etu Mpɔn na Asiane Nnim
“ The Gold Standard ”	“ Nea Wogyina so Bu Ka ”
[ Box on page 11 ]	[ Kratafa 11 adaka ]
Recent Court Decisions	GYINAE A ASƐNNIBEA ASISI NNANSA YI
“ That’s terrible ! ”	Ɔteɛɛm sɛ : “ Ɛyɛ hu !
Valuable Early Training	Mmofraase Ntetee a Mfaso Wɔ So
No .	Dabi .
We were married in 1939 .	Yɛwaree wɔ 1939 mu .
Learning Bible Truth	Misua Bible mu Nokware
Our caller , R .	Nea ɔbaa yɛn nkyɛn , R .
An Illiterate Preacher	Ɔsɛnkafo a Onnim Akenkan ne Akyerɛw
My First Convention	Ɔmantam Nhyiam a Midii Kan Kɔe
So , what could I do ?	Enti , na dɛn na metumi ayɛ ?
I never stole it ! ”	Manwia ! ”
I did not tell you . ”	Manka ankyerɛ wo . ”
Made to Feel Welcome	Wɔmaa M’ani Gyei
The Only Witness in Town	Ɔdansefo Biako Pɛ a Ɔwɔ Kurow Mu
He died in 1971 .	Owui wɔ 1971 mu .
A Congregation Formed	Wɔtew Asafo
Growth Among Aborigines	Nkɔso a Aba Wɔ Aboriginefo Mu
[ Footnote ]	[ Ase hɔ asɛm ]
Perth	Perth
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Darwin	Darwin
Cairns	Cairns
Townsville	Townsville
Mount Isa	Mount Isa
Rockhampton	Rockhampton
Emerald	Emerald
Springsure	Springsure
Woorabinda	Woorabinda
Ipswich	Ipswich
Sydney	
Adelaide	Adelaide
Dorothy today	Sydney
[ Picture on page 13 ]	[ Kratafa 13 mfonini ]
Young People Ask . . .	Mmofra Bisa Sɛ . . .
Getting Started	Sɛnea Wubefi Ase
But how ?	Nanso ɔkwan bɛn so ?
Well , think again .	Susuw ho bio .
Applying for a Job	Sɛnea Wɔhwehwɛ Adwuma
Use good manners .	Da su pa adi .
Be specific .	Ka nsɛm pɔtee .
Working for Yourself	W’ankasa Adwuma a Wobɛyɛ
But don’t despair .	Nanso mpa abaw .
The advantages ?	Mfaso bɛn na ɛwɔ so ?
Keep Your Balance !	Kari Pɛ !
So keep your balance .	Enti kari pɛ .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Box on page 22 ]	[ Kratafa 28 adaka ]
Jobs You Can Create	Nnwuma a Wubetumi Ayɛ
• Washing windows	• Mfɛnsere mu hohoro
• Shoveling snow	• Sukyerɛmma a wɔsesaw fi kwan mu
• Baby - sitting	• Nkokoa sohwɛ
• Shining shoes	• Mpaboa ho a wɔka
• Running errands	• Asomasoma
• Making deliveries	• Aguade a wɔde kɔma nkurɔfo wɔ wɔn afie mu
[ Picture on page 21 ]	[ Kratafa 17 mfonini ]
Page Two	Kratafa Abien
3 - 10	3 - 10
26	18
[ Footnotes ]	[ Ase hɔ asɛm ]
Dr . J .	Oduruyɛfo J .
J .	J .
A Worldwide Problem	Wiase Nyinaa Haw
Not necessarily .	Dabida .
[ Box on page 5 ]	[ Kratafa 5 adaka ]
Motivations for Suicide	Nneɛma a Ɛma Obi Di Ne Ho Dɔm
They tend to be loners .	Wɔbɛyɛ ankonam .
Berman and David A .	Berman ne David A .
Jobes .	Jobes tintimii .
[ Picture on page 5 ]	[ Kratafa 5 mfonini ]
When Hope and Love Vanish	Bere a Anidaso ne Ɔdɔ Sa
The result ?	Dɛn na efi mu bae ?
A Life - Saving Quality ?	So Ɛyɛ Su a Egye Nkwa ?
Hopelessness Can Result	Ebetumi De Abasamtu Aba
[ Blurb on page 6 ]	[ Asɛm a wɔafa aka wɔ kratafa 6 ]
[ Blurb on page 7 ]	[ Asɛm a wɔafa aka wɔ kratafa 6 ]
[ Box on page 6 ]	[ Kratafa 6 adaka ]
• Running away from home	• Oguan fi fie
• Guilt feelings	• Obu ne ho fɔ
• Self - criticism	• Ɔkasa tia ne ho
• Sexual promiscuity	• Ɔde ne ho hyɛ nna mu ɔbrasɛe mu
• Cult or gang membership	• Ɔdɔm sum ase kuw anaa basabasayɛ kuw bi
Patros and Tonia K .	Patros ne Tonia K .
Shamoo	Shamoo tintimii so
[ Pictures on page 7 ]	[ Kratafa 7 mfonini ahorow ]
When Hope and Love Return	Bere a Wɔsan Nya Anidaso ne Ɔdɔ
I withdrew into myself .	Metew me ho fii afoforo ho .
No More Youthful Deaths	Mmofra Renwu Bio
[ Box on page 8 ]	[ Kratafa 8 adaka ]
Qualified Help Needed	Mmoa a Ɛfata Ho Hia
The Bible’s Viewpoint	Bible no Adwene
Why ?	Dɛn ntia ?
Resist the Devil	Siw Ɔbonsam Kwan
Our Fight From Within	Apereperedi a Efi Yɛn Nipadua Mu
Accept Responsibility	Gye Asɛyɛde Tom
Have you read the Awake !	So woakenkan Nyan !
magazine before ?	nsɛmma nhoma no pɛn ?
Awake !	O .
Stutter Free !	Ɔmpo Dodow Bio !
His speech is normal !	Ne kasa mu da hɔ !
Young People Ask . . .	Mmofra Bisa Sɛ . . .
Be Interested	Kyerɛ Ho Anigye
Bored and Boring Teachers	Akyerɛkyerɛfo a Wɔabrɛ na Wɔn Ani Ahaw
Not necessarily .	Dabida .
How ?	Ɔkwan bɛn so na ɛte saa ?
Ask pointed questions .	Bisa nsɛm a ɛfa nea moresua no ho .
Who knows ?	Hena na onim ?
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Picture on page 20 ]	[ Kratafa 25 mfonini ]
Gold — The Mystique of It	Sika Kɔkɔɔ — Ɛho Nsɛm a Ɛyɛ Nwonwa
“ GOLD !	“ SIKA KƆKƆƆ !
It’s gold , I tell you !	Ɛyɛ sika kɔkɔɔ , meka mekyerɛ wo !
Gold ! ”	Sika kɔkɔɔ ! ”
Gold and History	Sika Kɔkɔɔ ne Abakɔsɛm
Sunken Treasure	Nnwinne a Ɛhyehyɛ Nsu Ase
War Gold	Ɔko Mmere Mu Sika Kɔkɔɔ
[ Box on page 27 ]	[ Kratafa 18 adaka ]
Some Facts About Gold	Sika Kɔkɔɔ Ho Nokwasɛm Ahorow Bi
[ Pictures on page 26 ]	[ Kratafa 19 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
Watching the World	Wiase Nsɛm
Harmful Computer Games	Kɔmputa So Agodie a Ɛyɛ Hu
Polluted Seas	Po a Wɔasɛe No
Fake Medicine	Nnuru a Ɛnyɛ Papa
Imperiled Plants	Afifide a Ɛwɔ Asiane Mu
Hospital Infections	Yare a Wonya Wɔ Ayaresabea
Save Electricity	Nsɛe Anyinam Ahoɔden
Dead Sea Disappearing	Po a Awu no Reyow
Page Two	Kratafa Abien
3 - 10	3 - 10
The Value of Solitude 18	Wo Ho a Wobɛtew Afi Afoforo Ho Bere Bi So Mfaso 18
You are not alone .	Ɛnyɛ wo nkutoo na wote nka saa .
Anxieties in Europe	Dadwen a Ɛwɔ Europa
UN PHOTO 186705 / J .	UN PHOTO 186705 / J .
Isaac	Isaac
FAO photo / B .	FAO photo / B .
Imevbore	Imevbore
Higher Education	Nhomasua a Ɛkɔ Anim
Her case is not unusual .	Ɛnyɛ ɔno nkutoo fam na ɛte saa .
Not necessarily .	Dabida .
No .	Dabi .
Watch Out !	Ma W’ani Nna Hɔ !
[ Box on page 6 ]	[ Kratafa 6 adaka ]
[ Pictures on page 5 ]	[ Kratafa 17 mfonini ]
Secure Start Swept Aside	Wɔsɛee Mfiase a Ahobammɔ Wom No
What could they do ?	Dɛn na na wobetumi ayɛ ?
“ Who are they ?	Ofipamfo no bisae sɛ : “ Wɔyɛ henanom ?
[ Blurb on page 10 ]	[ Asɛm a wɔafa aka wɔ kratafa 10 ]
